time,amplitude,frequency,power
0.0,0.00062528794,0.0,3.90985e-07
6.25e-05,0.14799578,0.0,0.021902753
0.000125,0.3599684,0.0,0.12957725
0.0001875,0.67610085,0.0,0.45711237
0.00025,0.649016,0.0,0.4212218
0.0003125,0.80003947,0.0,0.64006317
0.000375,0.869249,0.0,0.7555938
0.0004375,0.80388993,0.0,0.64623904
0.0005,0.69469494,0.0,0.48260105
0.0005625,0.6776147,0.0,0.45916167
0.000625,0.5183966,0.0,0.26873505
0.0006875,0.4614296,0.0,0.21291727
0.00075,0.30869478,0.0,0.095292464
0.0008125,0.2342197,0.0,0.054858867
0.000875,0.22171395,0.0,0.04915707
0.0009375,0.15220825,0.0,0.023167353
0.001,0.10182321,0.0,0.010367966
0.0010625,-0.006943987,0.0,4.8218957e-05
0.001125,-0.02435332,0.0,0.0005930842
0.0011875,-0.04077536,0.0,0.0016626299
0.00125,-0.109195024,0.0,0.011923553
0.0013125,-0.077469885,0.0,0.0060015833
0.001375,-0.10024353,0.0,0.010048766
0.0014375,-0.16635951,0.0,0.027675487
0.0015,-0.23477918,0.0,0.05512126
0.0015625,-0.44596195,0.0,0.19888206
0.001625,-0.4850589,0.0,0.23528214
0.0016875,-0.54265124,0.0,0.29447037
0.00175,-0.74991775,0.0,0.5623766
0.0018125,-0.8532548,0.0,0.72804374
0.001875,-0.8391364,0.0,0.70414996
0.0019375,-0.7422826,0.0,0.5509835
0.002,-0.686632,0.0,0.47146347
0.0020625,-0.5981702,0.0,0.3578076
0.002125,-0.5099059,0.0,0.260004
0.0021875,-0.25195813,0.0,0.0634829
0.00225,-0.07865465,0.0,0.0061865533
0.0023125,0.07773317,0.0,0.006042445
0.002375,0.28233397,0.0,0.07971247
0.0024375,0.5212598,0.0,0.27171177
0.0025,0.622359,0.0,0.3873307
0.0025625,0.8392352,0.0,0.7043157
0.002625,0.74906206,0.0,0.561094
0.0026875,0.77463305,0.0,0.60005635
0.00275,0.784868,0.0,0.61601776
0.0028125,0.7231949,0.0,0.52301085
0.002875,0.64631736,0.0,0.41772613
0.0029375,0.52688736,0.0,0.2776103
0.003,0.29885474,0.0,0.089314155
0.0030625,0.2581781,0.0,0.06665594
0.003125,0.17116435,0.0,0.029297234
0.0031875,0.06605016,0.0,0.004362623
0.00325,0.035147764,0.0,0.0012353653
0.0033125,0.059336536,0.0,0.0035208245
0.003375,0.008523663,0.0,7.265282e-05
0.0034375,-0.048212994,0.0,0.0023244927
0.0035,-0.14888436,0.0,0.022166552
0.0035625,-0.12278681,0.0,0.015076601
0.003625,-0.13713552,0.0,0.01880615
0.0036875,-0.11353913,0.0,0.012891134
0.00375,-0.28727046,0.0,0.082524315
0.0038125,-0.31991705,0.0,0.10234692
0.003875,-0.47874022,0.0,0.2291922
0.0039375,-0.6423682,0.0,0.4126369
0.004,-0.7723952,0.0,0.59659433
0.0040625,-0.7744027,0.0,0.5996995
0.004125,-0.73537153,0.0,0.5407713
0.0041875,-0.790726,0.0,0.6252476
0.00425,-0.7620944,0.0,0.58078784
0.0043125,-0.6518133,0.0,0.42486063
0.004375,-0.5289936,0.0,0.27983424
0.0044375,-0.2877641,0.0,0.08280818
0.0045,-0.066445075,0.0,0.004414948
0.0045625,0.12002238,0.0,0.014405372
0.004625,0.18584217,0.0,0.03453731
